,Brand,Search,Comments,Source,Additional info,Subjectivity,Polarity
5630,Forever 21,haul,FOREVER 21 HAUL+Your videos always put me in a good mood cuz you're so happy and smiley,https://www.youtube.com//watch?v=giUmT-Ob2jk&pp=ygUQRm9yZXZlciAyMSBoYXVsIA%3D%3D,,0,
9442,ASOS,worth it,"ASOS: are their clothes worth your money? ǀ Fashion haul but different ǀ Justine Leconte+You help me realize even though spending a lot of money can be hard, that it is worth paying for quality garments. Buying less clothes but better quality. Also you help point out things people don't know to look for like how things are cut, the lining, or fabric chosen.",https://www.youtube.com//watch?v=OBCbEjnjhuY&pp=ygUOQVNPUyB3b3J0aCBpdCA%3D,,0,
10453,ASOS,opinions,i tried ASOS 2 years later and it was...interesting | size 14/16 try-on!+That gummy bear sweater screams that you need to take a trip to Tokyo and wear it!,https://www.youtube.com//watch?v=ImfrR5FcH7A&pp=ygUOQVNPUyBvcGluaW9ucyA%3D,,0,
7143,Forever 21,comparison,"What ACTUALLY Fits a Size 12 at Forever 21?+i didn't even know that 'mid-sized' was a term before I watched your videos. i finally feel SEEN. and when you said ""its not MY body thats the problem,"" that was exactly what i needed to hear. thank you!!!!!!!!",https://www.youtube.com//watch?v=FbeHk_NroK8&pp=ygUWRm9yZXZlciAyMSBjb21wYXJpc29uIA%3D%3D,,0,
5864,Forever 21,haul,"HUGE FOREVER 21 SUMMER TRY ON HAUL | trendy affordable clothes !+It'd be cool to see your individual outfits and clothing pieces in different lights, angles, and settings.  Along with that different amounts of the piece shown in areas that people might want to see, and in ways people not not think of.",https://www.youtube.com//watch?v=jd3btUbpUCg&pp=ygUQRm9yZXZlciAyMSBoYXVsIA%3D%3D,,0,
15973,Versace,consumerism,Versace Eros 2012 | Fragrances+SA majetad sa majesty l'ordre très chers royaume le paradise dans les 4saisons se que je lui e offre somptueux SA majestad SA majesty l'ordre là bible e la fortune l'ordre,https://www.youtube.com//watch?v=gsPsM6YYrfY&pp=ygUUVmVyc2FjZSBjb25zdW1lcmlzbSA%3D,,0,
9052,ASOS,animal testing,Is animal testing reliable? Johns Hopkins professor answers+It has to stop. Animals deserve to live free,https://www.youtube.com//watch?v=nVoPpuYsMUU&pp=ygUUQVNPUyBhbmltYWwgdGVzdGluZyA%3D,,0,
18792,Versace,popular,"Reacting to Popular Men's Fragrances (Dior Sauvage, Versace Eros & More) | Courtney Ryan+Also purchase a regular basic ️ to wake you up, not the smartphone. I found the smartphone pulls a person's attention away from where it needs to be.",https://www.youtube.com//watch?v=C7u3MTklaFg&pp=ygUQVmVyc2FjZSBwb3B1bGFyIA%3D%3D,,0,
16490,Versace,animal testing,"Jaclyn Hill TESTED On Animals, Ariel Versace Has A PROBLEM!+You're spot on with your content being an escape for people. I watch your videos when I'm feeling sad and I dont want to be constantly bombarded with the hatred and horrible things going on in the world for at least 20 minutes",https://www.youtube.com//watch?v=9BWRp213_ac&pp=ygUXVmVyc2FjZSBhbmltYWwgdGVzdGluZyA%3D,,0,
9943,ASOS,haul,"ASOS Haul / why i don't shop there+I was a regular ASOS shopper until a few years ago, when I decided to quit fast fashion. I still have a couple of pieces (a leather moto jacket and a bomber jacket) going strong in my wardrobe, though.",https://www.youtube.com//watch?v=SlYV6DTxg1A&pp=ygUKQVNPUyBoYXVsIA%3D%3D,,0,
3099,Dior,popular,TOP DIOR PERFUMES AND BEAUTY GUIDE+Hey bestie!! 🩷 I love the Dior Lip Glow balm and Maximizer. Dior definitely has THE best balm I've tried thus far. I'm a lip gloss/balm type of girl lol ️,https://www.youtube.com//watch?v=b-dVvGbIopM&pp=ygUNRGlvciBwb3B1bGFyIA%3D%3D,,0,
6413,Forever 21,opinions,"Why Did Forever 21 File For Bankruptcy?+Some lessons from this are: Do homework on the markets you're going to cover, don't over expand, think about quality of the products, look at sustainability of the items (such as using responsibly sourced cotton for t-shirts), have an up to date, secure and expanded online store (which includes mobile and tablet apps) and think about additional sizings.",https://www.youtube.com//watch?v=DxlkvrbRvqI&pp=ygUURm9yZXZlciAyMSBvcGluaW9ucyA%3D,,1,0
14776,Mango,ethically sourced,"MANGO Committed | Making FASHION more SUSTAINABLE+WHEN I STARTED MY MASTERS IN BUSINESS STUDIES BACK IN 2013, I GOT WELL ACQUAINTED WITH GOOD BRANDS ️️️️ MANGO BRAND CAN BE EASILY SEEN IN MAKATI AREA ️️️️️",https://www.youtube.com//watch?v=pOe5M0GtYZo&pp=ygUYTWFuZ28gZXRoaWNhbGx5IHNvdXJjZWQg,,0,
18522,Versace,comparison,"VERSACE BRIGHT CRYSTAL vs ABSOLU, CRYSTAL NOIR EDT vs EDP, YELLOW DIAMOND vs INTENSE | Soki London+Lovely review i never tried vercasie",https://www.youtube.com//watch?v=g5RiUHQfmjo&pp=ygUTVmVyc2FjZSBjb21wYXJpc29uIA%3D%3D,,0,
7787,ASOS,waste,The environmental disaster fuelled by used clothes and fast fashion | Foreign Correspondent+1 year ago this was a giant issue. Now it is getting harder and harder to get clothes at the thrift shop due to it being trendy and the resellers. Great for the thrift shop owners and the charities who profit from it. Not so great for the people who need a good bargain for clothes. Trends seem to always have their victims.,https://www.youtube.com//watch?v=bB3kuuBPVys&pp=ygULQVNPUyB3YXN0ZSA%3D,,0,
1312,Dior,price,Shopping at DIOR (w/ Prices) Greenbelt | New Collection bag: Lady Dior + Lady D-Joy + Caro + Saddle+So many cute Dior bags my beautiful BB. I hope you have a wonderful weekend.,https://www.youtube.com//watch?v=mdGdZcfSENE&pp=ygULRGlvciBwcmljZSA%3D,,0,
14095,Mango,thoughts,"Mango - ""Thoughts""+mango is my dad",https://www.youtube.com//watch?v=6wmtsEmFtEE&pp=ygUPTWFuZ28gdGhvdWdodHMg,,0,
5018,Forever 21,animal testing,"Animal Testing in 60 Seconds+Poor Babies :,(. Breaks my heart.",https://www.youtube.com//watch?v=rYATRV6W4iA&pp=ygUaRm9yZXZlciAyMSBhbmltYWwgdGVzdGluZyA%3D,,0,
646,Dior,consumerism,Dior Addict - The New Icon of Shine+I’m in Dior  I really love Dior products,https://www.youtube.com//watch?v=Vpozma3GnGw&pp=ygURRGlvciBjb25zdW1lcmlzbSA%3D,,0,
1577,Dior,worth it,DIOR did my Makeup: Was it worth the $$$? 😳+tina looks like mina myong,https://www.youtube.com//watch?v=nluemmjSm_w&pp=ygUORGlvciB3b3J0aCBpdCA%3D,,0,
9168,ASOS,price,"Is ASOS Stock a Buy Now? Down 87%!+Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today",https://www.youtube.com//watch?v=6zBQwJQJK9U&pp=ygULQVNPUyBwcmljZSA%3D,,0,
7717,Forever 21,ethically sourced,"The Decline of Forever 21...What Happened?+Used to shop at Forever21 often in my early 20s, I always found it was hit or miss with them though. You could go in one day and find a bunch of cool stuff u like, then go another day and there’s nothing u like. Also felt the clothing sections and organization layout was a bit messy for my taste. Regardless I did find some gems there, yea they didn’t last long but for the moment they were cool",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygUdRm9yZXZlciAyMSBldGhpY2FsbHkgc291cmNlZCA%3D,,0,
11765,Mango,waste,"How Vegan Leather Is Made From Mangoes | World Wide Waste+What kind of chemicals do you mix with it? I'm wanting to make some vegan leather myself. I use a lot of animal hides to connect with the animal spirits. Thing is, there's this tree I need to connect to, but I can't exactly tan a tree's hide. This'll help me a lot! Thanks!",https://www.youtube.com//watch?v=gAu0XGHpqco&pp=ygUMTWFuZ28gd2FzdGUg,,0,
6278,Forever 21,opinions,"Women Review Forever 21 Graphic Tees+I'm not even going to lie , Hot topic has amazing graphic tees",https://www.youtube.com//watch?v=TrNOOb8Gy-w&pp=ygUURm9yZXZlciAyMSBvcGluaW9ucyA%3D,,0,
19301,Versace,ethically sourced,The Kid Who Invented Versace+Gianni versace legend of summer fashion   forever iconic,https://www.youtube.com//watch?v=HQZap3rCqJg&pp=ygUaVmVyc2FjZSBldGhpY2FsbHkgc291cmNlZCA%3D,,0,
8757,ASOS,quality,The Best Quality Affordable Fashion Brands+Sounds like Pooh bear!,https://www.youtube.com//watch?v=yAjC2hmN6jc&pp=ygUNQVNPUyBxdWFsaXR5IA%3D%3D,,0,
16076,Versace,consumerism,Versace Fall-Winter 2023 | Campaign Film | Versace+I was infront of the versache store while they filmed the models,https://www.youtube.com//watch?v=EyLcRKUIiuw&pp=ygUUVmVyc2FjZSBjb25zdW1lcmlzbSA%3D,,0,
7301,Forever 21,popular,How Fashion Nova Took Over Forever 21+What a great video! I just watched three of your videos in a row! I wonder why your channel wasn’t recommended yo me before ? Love it!,https://www.youtube.com//watch?v=-mUbIm8WO0s&pp=ygUTRm9yZXZlciAyMSBwb3B1bGFyIA%3D%3D,,0,
366,Dior,sustainable,Eco-Printing Savoir-Faire at the Dior Spring-Summer 2020 Show+Just WOW,https://www.youtube.com//watch?v=zmYVwz_r7a8&pp=ygURRGlvciBzdXN0YWluYWJsZSA%3D,,0,
10731,ASOS,thoughts,"ASOS ""Trending Now"" Clothing on 2 Different Body Types! [Size 2 vs Size 10]+That last dress you gotta try it again cause Bridget it looked good",https://www.youtube.com//watch?v=qWScQbHE51w&pp=ygUOQVNPUyB0aG91Z2h0cyA%3D,,0,
10620,ASOS,thoughts,Shopping ASOS In Store vs. Online! * Which is better?! *+Shoutout to the editor. I was DEAD when I saw big bird!!!,https://www.youtube.com//watch?v=XVUCuCutA8o&pp=ygUOQVNPUyB0aG91Z2h0cyA%3D,,0,
13282,Mango,worth it,"$5,000 Mango at Auction ー but WHY? ★ ONLY in JAPAN+If you've too much money, this is a great way to spend your money and motivates farmer. Great video John.",https://www.youtube.com//watch?v=ZacRtEM0F0Q&pp=ygUPTWFuZ28gd29ydGggaXQg,,0,
13072,Mango,worth it,"Why Miyazaki Mangoes Are So Expensive | So Expensive Food | Business Insider+I've seen mangos in Kenyan markets which are as red and more plump than the ones in the video. I also tried several varieties which were absolutely delicious and like nectar. However there was no fancy packaging, just ordinary cardboard boxes and plastic bags.",https://www.youtube.com//watch?v=MRyWyWIWhrc&pp=ygUPTWFuZ28gd29ydGggaXQg,,0,
3471,Dior,trends,The Dior Men’s Summer 2024 Show+Prince Eunwoo  el más bello inteligente caballero y un ángel el mejor embajador Dior ️️,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUMRGlvciB0cmVuZHMg,,0,
2783,Dior,comparison,"DIOR BAG COMPARISON - SMALL LADY D-JOY VS. MYABC LADY DIOR⭐️+Wow, so thorough!  thank you! I think that the D-Joy is more versatile and unique looking. BOTH beautiful bags though, I’ll see how I like the D-joy first. been eyeing the matte version for a more casual hardy everyday bag.",https://www.youtube.com//watch?v=FGP8soWTyX8&pp=ygUQRGlvciBjb21wYXJpc29uIA%3D%3D,,1,1
11210,ASOS,popular,"Why China's Shein is beating ASOS, H&M and Zara at fast fashion+As if Nike is paying fair wage to the labourers in Bangladesh.",https://www.youtube.com//watch?v=9XCKnN6o19k&pp=ygUNQVNPUyBwb3B1bGFyIA%3D%3D,,1,0
282,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+Why now why not chanel and why are you guys so weird,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,,1,0
11505,ASOS,trends,"trying 2022 fashion trends & aesthetics+For the ballet core, I actually liked the miss match of socks, the mesh and leg warmer.",https://www.youtube.com//watch?v=joC-DDT9Ik4&pp=ygUMQVNPUyB0cmVuZHMg,,1,1
18618,Versace,popular,Versace Eros 2012 | Fragrances+Gigachad before it was cool,https://www.youtube.com//watch?v=gsPsM6YYrfY&pp=ygUQVmVyc2FjZSBwb3B1bGFyIA%3D%3D,,1,1
2152,Dior,opinions,DIOR did my Makeup: Was it worth the $$$? 😳+THAT SERUM IS AMAZING!!!! I love it!,https://www.youtube.com//watch?v=nluemmjSm_w&pp=ygUORGlvciBvcGluaW9ucyA%3D,,1,1
900,Dior,quality,Buying too much Dior starts to show cracks in brand quality. | Disappointed again 😔+That is a gorgeous butterfly paper bag! I’d keep that around as decor,https://www.youtube.com//watch?v=iVkCyA3MvSY&pp=ygUNRGlvciBxdWFsaXR5IA%3D%3D,,1,1
11202,ASOS,popular,"ASOS ""Trending Now"" Clothing on 2 Different Body Types! [Size 2 vs Size 10]+Love this video style!",https://www.youtube.com//watch?v=qWScQbHE51w&pp=ygUNQVNPUyBwb3B1bGFyIA%3D%3D,,1,1
13976,Mango,opinions,MY UNPOPULAR OPINIONS- You might hate me after this….+Love u mango,https://www.youtube.com//watch?v=hA7eYBx2a00&pp=ygUPTWFuZ28gb3BpbmlvbnMg,,1,1
3292,Dior,popular,Exploring Dior with JISOO+I’m not blink but she is elegant and classy.,https://www.youtube.com//watch?v=emzxrZAHWYo&pp=ygUNRGlvciBwb3B1bGFyIA%3D%3D,,0,
10384,ASOS,opinions,Shopping ASOS In Store vs. Online! * Which is better?! *+Jackie's in store dress would go great with the mint heels from online lol,https://www.youtube.com//watch?v=XVUCuCutA8o&pp=ygUOQVNPUyBvcGluaW9ucyA%3D,,0,
8227,ASOS,fast fashion,"How ASOS became one of the world’s largest retailers | CNBC Explains+As a plus size individual living in Asia, it’s really a struggle to find nice clothes. For me, the best things about ASOS is how inclusive they are; offering plus size clothes with very nice silhouettes & still very trendy. Also their app interface is just amazing; easy to navigate, streamlined and very aesthetically pleasing to browse at!",https://www.youtube.com//watch?v=JAeqysT6Bxs&pp=ygUSQVNPUyBmYXN0IGZhc2hpb24g,,1,1
18626,Versace,popular,Versace Eros 2012 | Fragrances+Hmm.  Almost looks like they want to imitate their desire to bust through a firmament.,https://www.youtube.com//watch?v=gsPsM6YYrfY&pp=ygUQVmVyc2FjZSBwb3B1bGFyIA%3D%3D,,0,
6753,Forever 21,thoughts,How I Would Completely Redesign Forever 21 (and Why It Failed)+Forever 21 gives me so much anxiety. I am not plus sized but being slightly curvy at all just made me feel like I don’t belong. The styles aren’t flattering and I always thought they appealed to tweens. Unfortunately tweens don’t actually buy anything bc what 13yo has money? These companies ostracize most normal people and lose money because of it.,https://www.youtube.com//watch?v=0DlnO-gY5Wo&pp=ygUURm9yZXZlciAyMSB0aG91Z2h0cyA%3D,,1,0
15172,Versace,waste,Why Is Versace So Expensive?+amazing video! wish something about Rick Owens please,https://www.youtube.com//watch?v=DhKvLcvNjkI&pp=ygUOVmVyc2FjZSB3YXN0ZSA%3D,,1,0
5513,Forever 21,worth it,"Women Review Forever 21 Graphic Tees+My shirt would say, ""Ugh, You Again..."".",https://www.youtube.com//watch?v=TrNOOb8Gy-w&pp=ygUURm9yZXZlciAyMSB3b3J0aCBpdCA%3D,,0,
7182,Forever 21,comparison,What ACTUALLY Fits a Size 12 at Forever 21?+I cried at forever21 because nothing would fit and like im your size too,https://www.youtube.com//watch?v=FbeHk_NroK8&pp=ygUWRm9yZXZlciAyMSBjb21wYXJpc29uIA%3D%3D,,1,0
17850,Versace,opinions,Should You Buy Versace The Dreamer in 2023 or Pass? | Honest Review+7-10 sprays? Dude that's overkill. 1-2 max,https://www.youtube.com//watch?v=Al0DgJ_AzcM&pp=ygURVmVyc2FjZSBvcGluaW9ucyA%3D,,1,0
11459,ASOS,trends,ASOS Try-On Haul + The 8 Summer 2022 Menswear Trends to Know | Men's Fashion & Style | Jovel Roystan+Can you do a video on different style of shorts. I have a body shape similar to yours just not quite as tall. Would love to see what are the best shorts in retrospect to your body aesthetics.,https://www.youtube.com//watch?v=QpA0Oqrg4-E&pp=ygUMQVNPUyB0cmVuZHMg,,0,
18407,Versace,comparison,"VERSACE EROS EDT vs EDP vs PARFUM COMPARISON! WHICH EROS IS THE BEST?+Love your videos, but I like the EDP version more.  Its all opinion at the end of them day, but Im an edp man in this brand. Keep up the great work",https://www.youtube.com//watch?v=B4tKtbzoDYQ&pp=ygUTVmVyc2FjZSBjb21wYXJpc29uIA%3D%3D,,1,0
6308,Forever 21,opinions,I Bought the WORST Selling Forever 21 Items+Wait I’m low key jealous of that Christmas tree dress,https://www.youtube.com//watch?v=d90RLiL1-D0&pp=ygUURm9yZXZlciAyMSBvcGluaW9ucyA%3D,,0,
6828,Forever 21,thoughts,FOREVER 21: Headed For Bankruptcy! | Retail Archaeology+I would buy so much clothes from them if they simply made XL and not all cropped.,https://www.youtube.com//watch?v=CPIqLOqrmlM&pp=ygUURm9yZXZlciAyMSB0aG91Z2h0cyA%3D,,1,1
4981,Forever 21,animal testing,"Animal Testing in 60 Seconds+Poor babies...they deserve to be free, in the wild. They really don't deserve this kind of abuse. We should support Peta's campaigns and fight for this madness to stop!",https://www.youtube.com//watch?v=rYATRV6W4iA&pp=ygUaRm9yZXZlciAyMSBhbmltYWwgdGVzdGluZyA%3D,,1,0
7404,Forever 21,popular,The Weird World of Forever 21 Brand Collaborations+I can see the Pepsi top with a denim jacket and high waisted black jeans.,https://www.youtube.com//watch?v=1M9ydMrqy6k&pp=ygUTRm9yZXZlciAyMSBwb3B1bGFyIA%3D%3D,,0,
4489,Forever 21,consumerism,"Why Primark Is Thriving While Retailers Like Forever 21 Are Closing | WSJ The Economics Of+I love Primark, but I would love it more. If it was online, especially now they do house furniture it’s kind of hard to carry home in uk",https://www.youtube.com//watch?v=OiKGoOpLoLs&pp=ygUXRm9yZXZlciAyMSBjb25zdW1lcmlzbSA%3D,,1,1
6249,Forever 21,opinions,Women Review Forever 21 Graphic Tees+I think they take it waaaay to seriously. Also I want more puns on t-shirts :),https://www.youtube.com//watch?v=TrNOOb8Gy-w&pp=ygUURm9yZXZlciAyMSBvcGluaW9ucyA%3D,,0,
7825,ASOS,waste,The environmental disaster fuelled by used clothes and fast fashion | Foreign Correspondent+A friend of mine deconstructs clothing to make doll clothes for her grandchildren and to sell. It’s fun to see my grandniece’s doll wearing a blouse made from one of my favorite blouses!,https://www.youtube.com//watch?v=bB3kuuBPVys&pp=ygULQVNPUyB3YXN0ZSA%3D,,1,1
5324,Forever 21,price,"WORTH the HYPE?! Reviewing the Whole Forever 21 x Barneys Collection+I hope this doesn't come off as weird, but your legs look great. What are you doing on leg day?",https://www.youtube.com//watch?v=d6wiqVDH6fo&pp=ygURRm9yZXZlciAyMSBwcmljZSA%3D,,0,
15764,Versace,sustainable,Inside Versace Home+I don't know who needs to hear this but stop saving all your money. Invest some of it if you want financial freedom.,https://www.youtube.com//watch?v=7CkRsMmrUcI&pp=ygUUVmVyc2FjZSBzdXN0YWluYWJsZSA%3D,,0,
14039,Mango,opinions,Mango Haul (unsponsored) | keep vs return edition!+I love the floral dress on you! The homemade sweater too!,https://www.youtube.com//watch?v=zBLSn-nLFhM&pp=ygUPTWFuZ28gb3BpbmlvbnMg,,1,1
622,Dior,consumerism,#DAREINGRISDIOR WITH THE COLLECTIVE+Inc Xin Liu is so cool,https://www.youtube.com//watch?v=jcjoIOwnxKA&pp=ygURRGlvciBjb25zdW1lcmlzbSA%3D,,0,
15050,Versace,waste,"Inside Versace Home+How I want my life would be ,surrounded by expensive and",https://www.youtube.com//watch?v=7CkRsMmrUcI&pp=ygUOVmVyc2FjZSB3YXN0ZSA%3D,,1,1
10395,ASOS,opinions,"I Bought the WORST Selling ASOS Items+Girl, I love your videos, but as soon as you started choosing the sizes, i knew everything will be too small. Hopefully you check out the sizing chart out before you buy it..",https://www.youtube.com//watch?v=mCtI5r_wXKU&pp=ygUOQVNPUyBvcGluaW9ucyA%3D,,0,
6736,Forever 21,thoughts,"How I Would Completely Redesign Forever 21 (and Why It Failed)+Love to see your view on Gap, what they’re doing wrong since it’s a brand we have all grew up with",https://www.youtube.com//watch?v=0DlnO-gY5Wo&pp=ygUURm9yZXZlciAyMSB0aG91Z2h0cyA%3D,,1,0
14402,Mango,comparison,Mango Tasting & Comparison | Kent Mango vs. Manila Mango+We call that apple-mango... Now I know it's actual name.,https://www.youtube.com//watch?v=DiuII_0KvDk&pp=ygURTWFuZ28gY29tcGFyaXNvbiA%3D,,0,
4522,Forever 21,consumerism,Why Primark Is Thriving While Retailers Like Forever 21 Are Closing | WSJ The Economics Of+Good on this company for trying to keep the instore purchases alive. But I’m definitely not flying to the east coast for fast fashion,https://www.youtube.com//watch?v=OiKGoOpLoLs&pp=ygUXRm9yZXZlciAyMSBjb25zdW1lcmlzbSA%3D,,1,0
13359,Mango,haul,"MANGO FAVOURITES+I think filming the try-ons in store instead of ordering and returning is such a great idea! Just highlighting and linking to your fave pieces from the website is already helpful, but it's great to see the pieces tried on, and it being in the store doesn't take anything away from its value",https://www.youtube.com//watch?v=UR7tOUe_pKA&pp=ygULTWFuZ28gaGF1bCA%3D,,0,
2018,Dior,aesthetic,"DIOR | Style Guide: How to Get the Iconic Dior Style on a Budget+Silvina, loving this series and its focus on history. Not many fashion channels on YouTube bother to look at fashion history which I think is essential when you're trying to build your own aesthetic. As shown by your outfits at the end of the video the fun part of fashion, at least in my experience, is creating looks with the knowledge that you've acquired. I hope your channel continues to grow, I'm quite new to fashion YouTube but some content creators are getting by doing the bare minimum, people deserve better!",https://www.youtube.com//watch?v=A3OaRH-vD0I&pp=ygUPRGlvciBhZXN0aGV0aWMg,,1,1
1243,Dior,price,"Dior New Greenbelt Store Tour + 2022 Prices! | The Beauty Junkee Vlogs+ng gulo  lng sa store,",https://www.youtube.com//watch?v=F7SBlwsUBKY&pp=ygULRGlvciBwcmljZSA%3D,,0,
7760,ASOS,waste,"Never Waste Money Buying Clothes Online Again+You, you are the celebrity that I want to dress like. It would be really cool if you became a widely known men's fashion person or something.",https://www.youtube.com//watch?v=ZjGLr06oU78&pp=ygULQVNPUyB3YXN0ZSA%3D,,1,1
1912,Dior,haul,"Luxury Haul: What I got for my 27th birthday 🎂 🤍 | Chanel, Dior, Polene & more ✨+I think you should make a video on how you save, invest, manage your finances, etc all while affording luxury goods. :) That would be so interesting/helpful to me!",https://www.youtube.com//watch?v=J1rXMmaAazE&pp=ygUKRGlvciBoYXVsIA%3D%3D,,0,
13896,Mango,opinions,What is Australia's BEST tasting Mango? 5 Variety Comparison Review+The big chain super markets destroyed fresh fruit in Australia. Their produce managers have no idea absolutely no idea. They think fruit should be the perfect shape and colour and they force farmers to pick fruit super immature so they can ship them and store them but the result is fruit has zero taste abd less and less people want to eat fruit.,https://www.youtube.com//watch?v=-qRJiAXe_SI&pp=ygUPTWFuZ28gb3BpbmlvbnMg,,0,
